"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"HT144","0.001","110","105","102","94","92","89","84"
"HT144XXX","0.01913070","24","22","20","18","17","15","14"
"HT29XXX","0.01174616","24","22","21","20","19","16","14"
"HT3","0.003","90","87","87","85","81","80","76"
"HT55","0.018","38","36","36","36","35","31","27"
"HTCC3","0.003","90","87","86","79","76","73","67"
"HuCCT1","0.003","90","85","85","80","77","75","71"
"HUCCT1XXX","0.00913067","24","23","23","21","21","20","18"
"HUH1XXX","0.02864391","24","21","21","19","18","14","12"
"HuO9","0.003","52","50","49","47","46","42","40"
"HuPT3","0.004","90","88","85","80","78","76","70"
"HUPT3XXX","0.02369693","24","23","22","20","20","17","16"
"HuPT4","0.001","38","37","36","36","33","31","29"
"HUPT4XXX","0.01056921","23","21","21","19","17","16","13"
"HUT78XXX","0.00804592","23","19","19","17","15","13","11"
"IALMXXX","0.11778984","24","23","23","20","20","0","0"
"IGR1","0.001","90","87","87","81","78","78","74"
"IGR37XXX","0.00761655","24","22","22","20","18","17","15"
"IGR39XXX","0.01858953","24","22","22","21","20","18","17"
"IGROV1XXX","0.02750169","22","21","20","18","16","16","14"
"IM9","0.024","37","36","36","36","36","36","36"
"IM95XXX","0.01733483","23","20","20","19","18","16","16"
"IMR32XXX","0.00254261","23","22","22","20","20","20","20"
"IMR5","0.005","40","39","39","36","35","34","33"
"IPC298XXX","0.00627071","24","23","23","19","19","17","17"
"ISHIKAWAHE","0.00355328","20","19","19","18","17","16","15"
"ISTMES1","0.009","130","127","127","118","109","107","96"
"ISTMES1XXX","0.05755820","24","21","21","17","15","13","0"
"ISTMES2XXX","0.00598920","24","23","23","18","18","17","17"
"ISTSL1","0.001","92","91","90","88","87","85","82"
"ISTSL2","0.326","40","38","38","33","30","24","19"
"J82XXX","0.09658243","22","19","19","18","18","0","0"
"JAR","0.004","57","55","54","54","54","52","48"
"JEG3","0.003","90","87","83","83","79","77","73"
"JHH2XXX","0.08008885","24","22","22","21","20","0","0"
"JHH4XXX","0.07109749","24","21","20","20","18","17","0"
"JHH5XXX","0.00900530","21","19","18","17","15","14","11"
"JHH6XXX","0.02015986","24","23","23","21","21","21","20"
"JHH7XXX","0.00301317","19","18","18","17","16","16","15"
"JHOS2XXX","0.02420986","23","22","22","19","19","19","17"
"JHOS4XXX","0.00878126","23","22","22","21","20","20","17"
"JHUEM2XXX","0.00658232","20","19","18","16","16","16","16"
"JiyoyeP200","0.005","40","38","37","35","32","32","32"
"JM1XXX","0.01496211","23","21","21","20","20","19","19"
"JMSU1XXX","0.01144514","24","23","21","18","16","16","13"
"JRT3T35","0.001","92","90","89","81","79","77","76"
"JURKATXXX","0.02227028","24","21","21","20","19","16","8"
"JVM2","0.319","40","38","38","35","33","30","24"
"JVM3","0.002","92","88","88","84","84","84","80"
"JVM3XXX","0.00254261","24","23","23","20","19","18","15"
"K029A#X","0.00254261","24","23","23","22","20","20","18"
"K5","0.001","121","118","117","112","110","105","100"
"KALS1","0.001","126","123","120","113","111","107","102"
"KALS1XXX","0.00529529","24","23","23","22","21","19","18"
"KARPAS299","0.003","92","91","91","85","83","82","79"
"KARPAS299X","0.01640925","23","22","21","19","17","17","15"
"KARPAS422","0.035","40","36","35","30","27","26","25"
"KARPAS422X","0.02789399","24","23","22","20","19","18","15"
"KARPAS45","0.004","35","33","32","31","31","29","26"
"KARPAS620X","0.00318989","24","23","22","21","20","20","17"
"KASUMI1","0.284","40","39","38","33","32","31","28"
"KASUMI2XXX","0.00322219","24","22","22","19","19","19","19"
"KCIMOH1XXX","0.00254261","20","19","19","19","18","17","16"
"KCL22XXX","0.01374672","24","22","21","18","16","15","12"
"KE37","0.002","92","88","88","80","77","73","69"
"KE39XXX","0.00670509","23","22","22","20","20","20","19"
"KE97XXX","0.00254261","24","23","22","20","19","19","18"
"KELLYXXX","0.03880032","20","18","17","17","17","14","0"
"KG1","0.001","92","91","91","88","86","83","82"
"KG1XXX","0.01860667","24","21","21","16","14","12","11"
"KHM1BXXX","0.00254261","24","23","23","21","19","17","17"
"KINGS1","0.001","130","128","128","125","123","119","112"
"KLE","0.024","115","110","108","95","93","87","75"
"KLEXXX","0.06242324","24","23","23","21","21","20","0"
"KM12","0.001","104","102","101","96","94","90","84"
"KMBC2XXX","0.02609533","24","21","21","21","18","18","16"
"KMH2","0.005","92","91","90","87","84","83","80"
"KMM1XXX","0.01871618","24","23","23","20","18","16","11"
"KMOE2","0.006","64","62","60","54","51","50","43"
"KMRC1XXX","0.14697542","24","21","20","18","16","0","0"
"KMRC2XXX","0.01589029","24","23","23","22","21","21","17"
"KMS11XXX","0.01875676","24","22","22","19","18","17","15"
"KMS12BMXXX","0.00264193","23","21","21","21","20","20","18"
"KMS12PE","0.077","40","39","39","37","36","36","33"
"KMS26XXX","0.00352425","24","22","22","20","20","19","17"
"KMS34XXX","0.01348113","24","21","20","18","17","15","14"
"KNS42XXX","0.00501625","24","23","23","23","22","22","21"
"KNS60XXX","0.00463419","24","23","23","21","20","19","18"
"KNS62","2052.997","2","1","1","1","1","1","0"
"KNS62XXX","0.07966184","21","20","20","17","17","17","0"
"KNS81XXX","0.03355799","24","23","22","18","18","16","0"
"KNS81FD","0.003","130","128","128","123","120","117","111"
"KO52XXX","0.00473828","24","22","21","18","18","16","14"
"KP1NXXX","0.01244594","24","23","23","22","22","21","19"
"KP1NLXXX","0.01793041","24","23","23","22","22","20","19"
"KP2XXX","0.00965236","22","21","19","18","17","17","14"
"KP3XXX","0.02749198","24","23","23","21","20","16","14"
"KP4","0.001","72","68","66","64","61","60","59"
"KP4XXX","0.00335571","24","23","23","22","21","20","19"
"KPNSI9SXXX","0.00440539","24","23","23","18","18","17","15"
"KPNYS","0.015","92","88","88","83","76","74","67"
"KU1919","0.007","90","89","87","83","81","77","70"
"KU812","0.017","7","6","6","6","6","5","5"
"KU812XXX","0.01682222","24","21","21","18","15","14","12"
"KURAMOCHI","0.002","130","128","125","122","117","115","109"
"KURAMOCHIX","0.05601942","24","22","22","18","16","14","0"
"KY821","1.036","15","14","14","12","11","8","5"
"KYM1XXX","0.00464488","20","18","18","16","16","16","14"
"KYSE140XXX","0.02538952","19","18","17","16","13","8","7"
"KYSE150","0.001","90","89","87","84","78","76","73"
"KYSE150XXX","0.01610508","21","20","20","18","18","18","17"
"KYSE180","0.001","90","87","87","81","80","77","76"
"KYSE180XXX","0.00803466","19","18","18","16","16","15","13"
"KYSE30XXX","0.00717749","24","23","23","21","21","19","17"
"KYSE410XXX","0.01345134","24","22","22","20","20","20","19"
"KYSE450XXX","0.01368268","20","19","19","18","18","17","14"
"KYSE510XXX","0.00254261","20","19","19","19","18","16","16"
"KYSE520","0.007","90","87","85","79","75","71","68"
"KYSE520XXX","0.00605460","24","23","23","21","21","21","21"
"KYSE70XXX","0.00747215","19","18","18","16","16","15","13"
"L33XXX","0.00535492","24","23","23","21","19","19","19"
"L363XXX","0.00321053","24","22","22","19","18","17","14"
"L428","0.044","90","86","82","77","76","72","68"
"L428XXX","0.05829857","24","22","22","18","18","16","0"
"L540","0.001","7","6","6","5","5","5","5"
"LAN6","0.044","52","47","47","45","44","41","35"
"LB373MELD","0.001","80","79","79","78","74","74","69"
"LB647SCLC","0.015","20","19","18","17","17","17","16"
"LB831BLC","0.001","130","128","127","124","117","116","107"
"LB996RCC","0.003","103","101","99","92","86","85","76"
"LC1SQSFXXX","0.02423591","23","22","22","20","20","20","19"
"LC41","0.002","40","39","39","38","34","33","31"
"LCLC103HXX","0.02092920","24","23","22","22","21","20","18"
"LK2","0.001","90","88","88","83","82","80","78"
"LN18XXX","0.05367248","22","19","19","15","13","11","0"
"LN229XXX","0.01519910","23","22","21","20","20","20","17"
"LN405","0.005","90","88","88","85","82","81","76"
"LNCaPClone","0.001","92","91","91","89","87","87","86"
"LOUCY","0.008","31","30","29","27","26","24","22"
"LOUNH91XXX","0.00685833","24","23","23","22","21","20","20"
"LoVo","0.002","90","89","86","79","74","73","68"
"LOXIMVI","0.001","73","72","72","70","70","69","65"
"LOXIMVIXXX","0.00456838","22","21","21","19","18","18","16"
"LP1","0.053","40","35","35","33","32","29","23"
"LP1XXX","0.01525946","24","23","23","22","20","15","14"
"LS1034","0.001","116","115","115","115","110","107","106"
"LS123","0.001","130","128","127","124","121","116","113"
"LS123XXX","0.04720604","23","22","22","20","20","19","0"
"LS411N","0.002","130","127","125","118","112","105","97"
"LS411NXXX","0.00259077","21","20","20","18","17","16","15"
"LS513","0.001","92","91","91","90","90","87","83"
"LS513XXX","0.01882460","24","20","20","17","15","13","10"
"LU134A","0.001","92","91","91","89","88","86","83"
"LU165","0.680","40","38","38","35","31","25","20"
"LU65","0.006","40","39","39","38","38","37","35"
"LU99XXX","0.03525101","24","20","20","18","15","12","0"
"LU99A","0.001","85","84","82","78","78","75","71"
"LUDLU1XXX","0.00374035","23","22","22","19","19","19","19"
"M14","0.002","90","88","88","81","76","72","67"
"MALME3MXXX","0.00415482","24","23","22","19","19","17","17"
"MB157XXX","0.00688726","24","23","23","20","17","17","17"
"MC116","0.001","92","91","90","88","84","82","77"
"MC116XXX","0.01194817","23","22","22","20","20","19","19"
"MCASXXX","0.00657595","24","23","23","21","21","20","18"
"MCCAR","0.024","40","38","37","35","35","32","29"
"MCF7XXX","0.01876104","23","22","22","19","17","17","15"
"MDAMB134VI","0.036","15","13","13","13","12","12","11"
"MDAMB157","0.024","33","31","30","29","28","26","24"
"MDAMB157XX","0.08561040","23","21","21","20","19","0","0"
"MDAMB175VI","0.09341449","39","37","33","28","25","24","22"
"MDAMB175VI","0.03282733","23","21","21","20","20","17","0"
"MDAMB231","0.001","90","89","89","87","83","82","79"
"MDAMB361","0.002","75","72","72","69","67","67","61"
"MDAMB415","0.020","38","36","36","34","31","29","26"
"MDAMB415XX","0.01840738","23","21","21","21","21","19","17"
"MDAMB435SX","0.00319567","24","23","23","20","20","19","17"
"MDAMB436XX","0.01669787","23","22","22","21","20","20","18"
"MDAMB453","0.003","90","87","87","86","85","84","82"
"MDAMB453XX","0.00254261","24","23","22","21","20","19","18"
"MDAMB468XX","0.16409413","24","20","19","11","0","0","0"
"ME180","0.002","90","87","86","79","79","76","75"
"MEC1XXX","0.01774899","24","22","20","19","18","18","15"
"MEG01","0.004","67","65","63","59","57","53","46"
"MEG01XXX","0.06251536","24","21","20","15","12","11","0"
"MELHO","0.002","90","85","84","76","73","67","65"
"MELHOXXX","0.01363526","24","21","21","18","18","16","16"
"MESSA","0.003","14","13","13","13","12","11","10"
"MESSAXXX","0.00683666","23","22","22","19","19","19","19"
"Mewo","0.005","90","87","86","82","80","78","69"
"MEWOXXX","0.02324267","24","23","22","22","22","21","21"
"MFE280","0.010","90","88","86","81","76","72","69"
"MFE280XXX","0.02649929","24","22","22","21","20","17","16"
"MFE296XXX","0.00617474","21","20","20","18","18","17","16"
"MFE319XXX","0.00268539","20","19","18","16","15","15","15"
"MFM223","0.006","52","51","51","48","46","42","40"
"MG63XXX","0.00506970","24","23","23","22","20","20","18"
"MHHES1XXX","0.00261794","24","23","23","19","19","18","16"
"MHHNB11","0.001","89","88","88","88","86","85","82"
"MHHPREB1","0.001","92","89","88","81","78","76","75"
"MIAPaCa2","0.001","76","75","71","67","66","64","62"
"MIAPACA2XX","0.00405202","24","23","22","20","19","17","17"
"MINOXXX","0.00287092","24","23","22","18","17","17","16"
"MJXXX","0.01326319","23","22","22","20","20","19","18"
"MKN1","0.003","86","84","81","76","74","73","65"
"MKN45","0.002","77","74","74","70","68","67","64"
"MKN45XXX","0.01785976","24","22","20","16","15","14","13"
"MKN7XXX","0.13995525","24","22","21","20","19","0","0"
"MKN74XXX","0.02244027","24","23","23","21","20","19","16"
"ML2","0.001","40","39","39","38","38","36","32"
"MLMA","0.003","92","87","86","83","79","78","77"
"MN60","0.005","92","89","88","84","83","80","74"
"MOGGCCMXXX","0.02381664","23","22","22","20","20","20","20"
"MOLP8XXX","0.00254261","24","23","23","22","22","20","17"
"MOLT13","0.012","16","14","13","13","11","11","11"
"MOLT16","0.001","92","90","89","82","80","76","76"
"MOLT16XXX","0.00394896","24","22","21","20","20","18","15"
"MOLT4","0.002","60","56","56","54","52","50","48"
"MONOMAC1XX","0.00349632","24","21","20","18","17","14","14"
"MONOMAC6","0.007","37","35","33","30","28","24","23"
"MORCPRXXX","0.00669531","20","19","18","17","17","17","16"
"MoT","0.113","52","51","50","47","45","43","31"
"MPP89","0.002","130","129","126","121","118","115","107"
"MPP89XXX","0.05585529","24","22","21","19","18","18","0"
"MRKnu1","1.296","40","39","38","33","28","26","20"
"MS1","0.003","91","90","90","85","84","81","78"
"MSTO211H","0.008","53","50","50","48","45","41","37"
"MSTO211HXX","0.01347823","23","22","22","19","19","17","15"
"MZ7mel","0.001","110","109","108","105","101","99","93"
"NB12","0.002","91","90","90","86","83","82","78"
"NB13","0.001","92","91","90","88","87","86","85"
"NB17","0.002","92","90","89","88","87","86","85"
"NB5","0.002","92","91","91","87","86","84","82"
"NB6","0.040","92","90","87","83","79","71","65"
"NB69","0.001","52","50","50","46","46","44","41"
"NB7","0.013","92","87","87","83","78","74","63"
"NCIH1048XX","0.00391821","24","23","23","19","19","19","19"
"NCIH1092","0.006","32","31","31","29","29","29","27"
"NCIH1092XX","0.06662035","24","22","22","21","21","21","0"
"NCIH1155","0.001","52","51","51","51","47","46","46"
"NCIH1155XX","0.04049383","20","16","16","15","15","13","0"
"NCIH1184XX","0.00581960","24","23","22","20","19","19","19"
"NCIH128","0.075","40","39","38","37","36","35","32"
"NCIH1299","0.009","67","63","63","59","57","55","53"
"NCIH1299XX","0.01495085","21","20","20","17","15","15","15"
"NCIH1339XX","0.01445335","24","22","22","19","19","19","19"
"NCIH1341XX","0.00254261","24","23","23","21","20","19","18"
"NCIH1355XX","0.01810617","23","22","22","20","18","17","16"
"NCIH1373XX","0.06768804","24","22","22","21","20","20","0"
"NCIH1395","0.004","92","90","89","89","86","82","82"
"NCIH1437","0.001","90","89","87","84","81","77","72"
"NCIH1563XX","0.21586392","23","21","21","21","0","0","0"
"NCIH1568XX","0.01096480","23","22","22","20","20","20","19"
"NCIH1573","0.002","76","74","72","71","70","67","66"
"NCIH1573XX","0.01465704","23","22","22","20","20","20","19"
"NCIH1581","0.002","67","65","65","62","61","59","58"
"NCIH1581XX","0.00929712","23","22","21","21","21","19","18"
"NCIH1623","0.001","90","89","89","87","85","84","82"
"NCIH1648","0.001","112","110","109","103","97","97","88"
"NCIH1648XX","0.08607987","23","22","21","19","19","0","0"
"NCIH1650","0.010","127","123","121","114","113","107","100"
"NCIH1650XX","0.00990197","23","22","21","20","19","18","16"
"NCIH1651","0.004","90","87","85","79","79","77","72"
"NCIH1651XX","0.02240480","23","21","21","20","19","19","19"
"NCIH1666","0.005","30","27","27","27","26","25","24"
"NCIH1666XX","0.00254261","24","23","23","20","19","17","13"
"NCIH1693","0.009","90","89","86","81","80","78","72"
"NCIH1693XX","0.04978148","24","22","22","20","20","19","0"
"NCIH1694","0.008","40","39","39","37","36","33","33"
"NCIH1694XX","0.01865733","24","21","20","20","20","20","19"
"NCIH1703","0.008","26","23","22","20","19","17","17"
"NCIH1703XX","0.01607764","20","18","18","17","16","15","12"
"NCIH1755","0.006","66","63","62","59","55","54","51"
"NCIH1770","0.002","92","90","90","88","88","84","80"
"NCIH1792","0.001","90","88","87","86","84","81","79"
"NCIH1792XX","0.01802209","23","22","22","20","18","17","16"
"NCIH1793","0.013","53","50","48","47","45","44","39"
"NCIH1793XX","0.01461544","22","21","21","20","20","20","15"
"NCIH1838","0.185","88","83","81","74","69","65","56"
"NCIH1869XX","0.10002055","24","22","22","19","16","0","0"
"NCIH187","0.024","40","39","38","31","30","28","27"
"NCIH1915XX","0.00425324","24","23","23","21","20","18","18"
"NCIH1944XX","0.01152205","23","21","21","20","19","18","18"
"NCIH1975","1048.915","2","1","1","0","0","0","0"
"NCIH1975XX","0.00264905","24","23","23","22","21","21","21"
"NCIH1993","0.085","90","88","88","84","79","76","66"
"NCIH2009","0.001","40","37","37","35","34","33","32"
"NCIH2009XX","0.01844758","24","22","22","20","18","18","16"
"NCIH2023XX","0.00933347","23","21","21","20","20","19","19"
"NCIH2029","0.203","52","49","49","44","41","33","27"
"NCIH2030","0.013","49","45","43","42","42","38","34"
"NCIH2030XX","0.02894469","24","22","21","18","18","17","10"
"NCIH2052","0.007","38","37","37","32","31","27","26"
"NCIH2052XX","0.04403678","23","21","20","18","18","17","0"
"NCIH2085XX","0.00705972","23","22","22","21","21","21","19"
"NCIH2087","0.005","52","50","50","48","46","46","46"
"NCIH2087XX","0.01045311","23","22","22","18","17","17","17"
"NCIH2107","0.136","31","29","29","24","23","20","17"
"NCIH211XXX","0.00847538","24","22","22","19","19","19","18"
"NCIH2122XX","0.00306664","24","23","23","19","17","17","15"
"NCIH2126","0.002","127","126","125","120","116","112","110"
"NCIH2141","0.004","40","39","39","38","35","35","34"
"NCIH2170","0.005","67","64","64","60","59","57","55"
"NCIH2170XX","0.00254261","24","23","23","20","20","19","18"
"NCIH2171","0.259","39","37","37","31","26","23","20"
"NCIH2172XX","0.00254261","23","20","20","18","18","18","18"
"NCIH2228XX","0.00294951","24","23","23","21","20","19","18"
"NCIH226","0.004","92","91","90","89","88","87","85"
"NCIH226XXX","0.26439777","23","22","21","19","0","0","0"
"NCIH2286XX","0.00438197","24","23","23","19","18","18","17"
"NCIH2291","0.019","52","50","50","48","45","40","37"
"NCIH23","0.004","73","72","71","70","70","66","66"
"NCIH23XXX","0.00353721","23","22","22","20","20","19","18"
"NCIH2342","0.037","52","50","50","48","45","44","38"
"NCIH2347","0.017","52","50","50","45","44","42","41"
"NCIH2405","0.051","66","61","61","53","50","45","41"
"NCIH2444XX","0.03636594","24","22","22","19","18","17","0"
"NCIH2452","0.002","90","89","89","86","85","83","81"
"NCIH2452XX","0.00710695","24","23","23","21","19","18","18"
"NCIH250","130.528","1","0","0","0","0","0","0"
"NCIH28","0.003","92","91","90","86","83","80","74"
"NCIH28XXX","0.0396","23","21","20","19","16","14","0"
"NCIH322XXX","0.01322677","24","21","21","19","17","15","11"
